date,department,meeting_transcript,employee_feedback,attrition_rate,engagement_score,project_delay_index
2025-07-01,Engineering,"Discussed backend migration plan and deadlines.","Happy with team collaboration.",0.12,0.85,0.05
2025-07-01,Marketing,"Planned Q3 campaigns and budgets.","Marketing team morale is high.",0.10,0.80,0.10
2025-08-01,Engineering,"Reviewed server performance issues and fixes.","Workload has increased lately.",0.14,0.70,0.20
2025-08-01,Sales,"Discussed client feedback and contract renewals.","Feeling stressed due to targets.",0.16,0.65,0.25
2025-09-01,HR,"Set new hiring goals and training schedules.","Happy with recent HR initiatives.",0.08,0.90,0.00
2025-09-01,Sales,"Sales strategies and pipeline review.","Pressure from sales targets is tough.",0.18,0.60,0.30
2025-10-01,Engineering,"Finalized cloud infrastructure upgrade.","Team is excited about new tech.",0.11,0.88,0.07
2025-10-01,Marketing,"Analyzed campaign performance metrics.","Some team members feel overwhelmed.",0.13,0.75,0.15
2025-11-01,HR,"Discussed employee wellness programs.","Positive feedback on wellness initiatives.",0.09,0.92,0.02
2025-11-01,Sales,"Reviewed quarterly sales performance.","Team is motivated but stressed.",0.17,0.68,0.22
2025-12-01,Engineering,"Planned next year's tech roadmap.","Excited about upcoming projects.",0.10,0.87,0.06
2025-12-01,Marketing,"Set goals for next quarter campaigns.","Team feels the workload is manageable.",0.12,0.78,0.12
2026-01-01,HR,"Reviewed recruitment strategies and diversity goals.","Satisfied with current recruitment process.",0.07,0.93,0.01
2026-01-01,Sales,"Discussed new sales tools and training.","Some team members are struggling with changes.",0.15,0.66,0.18
2026-02-01,Engineering,"Addressed recent security vulnerabilities.","Team is concerned about tight deadlines.",0.13,0.72,0.18
2026-02-01,Marketing,"Brainstormed ideas for brand refresh.","Creative energy is high among team.",0.11,0.82,0.08
2026-03-01,HR,"Set plans for upcoming performance reviews.","Employees appreciate transparent feedback.",0.06,0.95,0.00
2026-03-01,Sales,"Reviewed customer acquisition strategies.","Team is optimistic about new leads.",0.14,0.69,0.20
2026-04-01,Engineering,"Planned maintenance for critical systems.","Team is confident in upcoming maintenance.",0.12,0.77,0.14
2026-04-01,Marketing,"Discussed social media strategy updates.","Team is excited about new campaigns.",0.10,0.85,0.09
